queue_rank,product_key,review_slug,primary_source,proof_type,proof_count,verification_level,public_evidence_rule,next_action
1,candy-vpct-vpgt-series,candy-vpct-vpgt-air-conditioner,Shopee,reviews,10400,marketplace_reviewed,show_review_count,refresh_price_and_affiliate_links
2,tcl-savein-ai-series,tcl-savein-ai-air-conditioner,Shopee,reviews,9200,marketplace_reviewed,show_review_count,refresh_price_and_affiliate_links
3,xiaomi-mijia-air-inverter-eco,xiaomi-mijia-air-inverter-eco,Shopee,reviews,4300,marketplace_reviewed,show_review_count,refresh_price_and_affiliate_links
4,midea-celest-msce,midea-celest-msce-air-conditioner,Shopee,reviews,193,marketplace_reviewed,show_review_count,refresh_price_and_affiliate_links
5,mitsubishi-msy-gt09vf,mitsubishi-msy-gt09vf-air-conditioner,HomePro,reviews,86,retailer_reviewed,show_review_count,replace_search_links_with_affiliate_after_user_check
6,mitsubishi-heavy-duty-dxk10cxv-w1,mitsubishi-heavy-duty-dxk10cxv-w1-air-conditioner,HomePro,reviews,13,retailer_reviewed,show_review_count,replace_search_links_with_affiliate_after_user_check
7,sharp-ah-au-xp10ymb,sharp-ah-au-xp10ymb-air-conditioner,HomePro,reviews,8,retailer_reviewed,show_review_count,replace_search_links_with_affiliate_after_user_check
8,daikin-ftkz09vv2s,daikin-ftkz09vv2s-air-conditioner,HomePro,reviews,4,retailer_seed,show_review_count,replace_search_links_with_affiliate_after_user_check
9,panasonic-cs-cu-xku9wkt,panasonic-cs-cu-xku9wkt-air-conditioner,HomePro,reviews,4,retailer_seed,show_review_count,replace_search_links_with_affiliate_after_user_check
10,daikin-ftkq09yv2s,daikin-ftkq09yv2s-air-conditioner,HomePro,reviews,3,retailer_seed,show_review_count,replace_search_links_with_affiliate_after_user_check
11,mitsubishi-msy-ky09vf,mitsubishi-msy-ky09vf-air-conditioner,HomePro,reviews,2,retailer_seed,show_review_count,replace_search_links_with_affiliate_after_user_check
12,panasonic-cs-cu-yn9ykt,panasonic-cs-cu-yn9ykt-air-conditioner,HomePro,reviews,1,retailer_seed,show_review_count,replace_search_links_with_affiliate_after_user_check
13,lg-icq11mn-ju1,lg-icq11mn-ju1-air-conditioner,HomePro,reviews,1,retailer_seed,show_review_count,replace_search_links_with_affiliate_after_user_check
14,mitsubishi-heavy-duty-dxk10yyp-w1,mitsubishi-heavy-duty-dxk10yyp-w1-air-conditioner,HomePro,reviews,1,retailer_seed,show_review_count,replace_search_links_with_affiliate_after_user_check
15,daikin-ftm09pv2s,daikin-ftm09pv2s-air-conditioner,HomePro,reviews,1,retailer_seed,show_review_count,replace_search_links_with_affiliate_after_user_check
16,panasonic-cs-cu-yu9zkt,panasonic-cs-cu-yu9zkt-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
17,panasonic-cs-cu-xu9akt,panasonic-cs-cu-xu9akt-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
18,panasonic-cs-cu-tu9akt,panasonic-cs-cu-tu9akt-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
19,sharp-ah-x10bb,sharp-ah-x10bb-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
20,mitsubishi-msy-gy09vf,mitsubishi-msy-gy09vf-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
21,mitsubishi-msy-jy09vf,mitsubishi-msy-jy09vf-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
22,daikin-ftkc09yv2s,daikin-ftkc09yv2s-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
23,lg-ice11mn-ju1,lg-ice11mn-ju1-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
24,lg-ieq10en-ju1,lg-ieq10en-ju1-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
25,carrier-42tvba010,carrier-42tvba010-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
26,carrier-42tvab010abi,carrier-42tvab010abi-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
27,beko-bseog090,beko-bseog090-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
28,samsung-ar10dyeaawknst,samsung-ar10dyeaawknst-air-conditioner,HomePro,none_visible,0,catalog_draft,do_not_show_count,find_marketplace_or_brand_source
