productKey,date,price,priceType,source,evidenceRef
little-swan-dryer,2026-07-02,644,promo,https://shopee.co.th/product/1235343041/27353400058,capture-2026-07-02
haier-hdv70e1-dryer,2026-07-02,6290,promo,https://shopee.co.th/product/184920733/28534442763,capture-2026-07-02
tcl-wt09kfdyw-dryer,2026-07-02,7290,promo,https://shopee.co.th/product/1025131800/26169839808,capture-2026-07-02
sothing-shoe-dryer,2026-07-02,319,promo,https://shopee.co.th/product/72571276/4904134878,capture-2026-07-02
deerma-hx10-shoe-dryer,2026-07-02,925,promo,https://shopee.co.th/product/163255636/5228924497,capture-2026-07-02
hafele-dehumidifier,2026-07-02,2690,list,https://shopee.co.th/product/105090190/10632577009,capture-2026-07-02
hafele-dehumidifier,2026-07-02,2434,promo,https://shopee.co.th/product/105090190/10632577009,capture-2026-07-02
xiaomi-smart-dehumidifier,2026-07-02,13599,list,https://shopee.co.th/product/30330278/43973076326,capture-2026-07-02
xiaomi-smart-dehumidifier,2026-07-02,7290,promo,https://shopee.co.th/product/30330278/43973076326,capture-2026-07-02
